nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,SSTR,Ki-67,first_line,later_line,biomarker_selected
NCT03946527,LAnreotide in Metastatic Pheochromocytoma / PARAganglioma (LAMPARA),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,10,Antonio Fojo,Antonio Fojo,2,0,0,single_arm,1,lanreotide,lanreotide,SSTR2,Peptide,PR;SSTR2,0,1,1,0,0,0,1
NCT03972488,Study to Evaluate the Efficacy and Safety of Lutathera in Patients With Grade 2 and Grade 3 Advanced GEP-NET,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,226,Advanced Accelerator Applications,Advanced Accelerator Applications,9,1,0,active_comparator,5,high dose;lutathera,2.5% lys-arg sterile amino acid solution;lutathera,SSTR,Radiopharmaceutical,SSTR,0,1,1,1,0,0,1
NCT04412629,Cabozantinib in High Grade Neuroendocrine Neoplasms,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,35,Washington University School of Medicine,Washington University School of Medicine,178,0,0,single_arm,1,blood for plasma biomarkers;cabozantinib;tissue biopsy,blood for plasma biomarkers;cabozantinib;tissue biopsy,MET,Small Molecule,MET;PD-L1,0,1,0,1,0,0,1
NCT04471727,A Study in Participants With Advanced Cancers Associated With Expression of DLL3 (MK-6070-001/HPN328-4001),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,232,"Harpoon Therapeutics, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",Merck (MSD),649,1,1,multi_experimental,5,gocatamig,atezolizumab;gocatamig;ifinatamab deruxtecan (i-dxd),PD-L1,Monoclonal Antibody,CMMRD;MSI-H;TMB,1,1,0,0,0,1,0
NCT04609592,"Study of PRRT in Metastatic, WHO Grade 1 or 2, SSTR Positive, GEP-NET Who Are Candidates for Cytoreductive Surgery",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,10,Stanford University,Stanford University,58,0,1,single_arm,1,computed tomography (ct);gallium 68 dotatate;lutathera;magnetic resonance imaging (mri);pet/ct,computed tomography (ct);gallium 68 dotatate;lutathera;magnetic resonance imaging (mri);pet/ct,SSTR,Radiopharmaceutical,SSTR,0,1,1,1,0,0,1
NCT04711135,Study to Evaluate Safety and Dosimetry of Lutathera in Adolescent Patients With GEP-NETs and PPGLs,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,11,Advanced Accelerator Applications,Advanced Accelerator Applications,9,1,0,single_arm,1,lutetium [177lu] oxodotreotide/dotatate,lutetium [177lu] oxodotreotide/dotatate,SSTR2,Radiopharmaceutical,Somatostatin Receptor,0,1,1,1,0,0,1
NCT04837885,Intra-arterial Hepatic (IAH) Infusion of Radiolabelled Somatostatin Analogs in GEP-NET Patients With Dominant Liver Metastases,PHASE2,Phase 2,RECRUITING,23,"University Hospital, Bordeaux","University Hospital, Bordeaux",8,0,0,single_arm,1,lutathera by intra-arterial hepatic (iah) injection;positron emission tomography computed tomography (pet/ct) with intra-hepatic (iah) injection;positron emission tomography computed tomography (pet/ct) with intravenous (iv) injection;scan,lutathera by intra-arterial hepatic (iah) injection;positron emission tomography computed tomography (pet/ct) with intra-hepatic (iah) injection;positron emission tomography computed tomography (pet/ct) with intravenous (iv) injection;scan,SSTR2,Radiopharmaceutical,SSTR2,0,1,0,0,0,0,0
NCT04848337,Pembrolizumab and Lenvatinib in Advanced/Metastatic Neuroendocrine Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,45,University of Michigan Rogel Cancer Center,University of Michigan Rogel Cancer Center,59,0,1,single_arm,1,lenvatinib;pembrolizumab,lenvatinib;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;genomic,1,1,0,0,0,1,0
NCT04869137,Neoadjuvant Lenvatinib Plus Pembrolizumab in Merkel Cell Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,26,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,single_arm,1,lenvatinib oral product;pembrolizumab,lenvatinib oral product;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0
NCT04919226,Lutetium 177Lu-Edotreotide Versus Best Standard of Care in Well-differentiated Aggressive Grade-2 and Grade-3 GastroEnteroPancreatic NeuroEndocrine Tumors (GEP-NETs) - COMPOSE,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,259,ITM Solucin GmbH,ITM Solucin,3,1,0,active_comparator,2,captem (capecitabine and temozolomide);everolimus;folfox (folinic acid + fluorouracil + oxaliplatin),177lu-edotreotide (peptide receptor radionuclide therapy) prrt;amino-acid solution,SSTR,Radiopharmaceutical,SSTR,0,1,1,0,0,0,1
NCT04924075,"Belzutifan/MK-6482 for the Treatment of Advanced Pheochromocytoma/Paraganglioma (PPGL), Pancreatic Neuroendocrine Tumor (pNET), Von Hippel-Lindau (VHL) Disease-Associated Tumors, Advanced Gastrointestinal Stromal Tumor (wt GIST), or Solid Tumors With HIF-2α Related Genetic Alterations (MK-6482-015)",PHASE2,Phase 2,RECRUITING,355,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,single_arm,1,belzutifan,belzutifan,HIF-2α,Small Molecule,HIF-2α;VHL,0,1,0,0,0,0,0
NCT04969887,Combination Immunotherapy in Rare Cancers Under InvesTigation,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,240,Olivia Newton-John Cancer Research Institute,Olivia Newton-John Cancer Research Institute,7,0,1,single_arm,1,ipilimumab;nivolumab,ipilimumab;nivolumab,CTLA-4,Monoclonal Antibody,MMR;MSI;MSI-H;PD-L1;biomarker,1,1,0,0,0,0,0
NCT05000294,Atezolizumab Plus Tivozanib in Immunologically Cold Tumor Types,PHASE1;PHASE2,Phase 2,RECRUITING,29,University of Florida,University of Florida,28,0,1,single_arm,1,atezolizumab;tivozanib,atezolizumab;tivozanib,PD-L1,Monoclonal Antibody,CMMRD;HER2;MET;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,0,0,0,0,0
NCT05050942,A Trial to Assess Efficacy and Safety of Octreotide Subcutaneous Depot in Patients With GEP-NET,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,332,Camurus AB,Camurus,4,1,0,active_comparator,2,lanreotide atg;octreotide lar,cam2029,SSTR2,Peptide,SSTR2,0,1,1,0,0,1,1
NCT05111509,A First-in-human Clinical Trial to Evaluate an Alpha-radiation Imaging Agent,EARLY_PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,20,Yusuf Menda,Yusuf Menda,1,0,0,single_arm,1,[203pb]vmt-α-net;device: spect/ct,[203pb]vmt-α-net;device: spect/ct,SSTR2,Radiopharmaceutical,Somatostatin Receptor,0,1,1,0,0,0,1
NCT05153772,Targeted Alpha-emitter Therapy of PRRT Naïve and Previous PRRT Neuroendocrine Tumor Patients,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,69,Orano Med LLC,Orano Med,3,1,1,single_arm,1,alphamedix,alphamedix,SSTR,Radiopharmaceutical,,0,1,1,0,0,0,1
NCT05167071,HBM4003 Combine With Toripalimab in Patients With Advanced NEN and Other Solid Tumors Study,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,53,Harbour BioMed (Guangzhou) Co. Ltd.,Harbour BioMed (Guangzhou),4,1,0,multi_experimental,3,hbm4003,hbm4003;tislelizumab;toripalimab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0
NCT05178693,Lutathera and ASTX727 in Neuroendocrine Tumours,PHASE1,Phase 1,RECRUITING,27,Imperial College London,Imperial College London,18,0,0,single_arm,1,astx727;lutathera,astx727;lutathera,BCL2,Small Molecule,BCL-2,0,1,0,1,1,1,1
NCT05199272,A Phase 1/2a Study of 23ME-00610 in Patients With Advanced Solid Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,141,"23andMe, Inc.",23andMe,2,1,0,multi_experimental,2,23me-00610,23me-00610,CD200R1,Monoclonal Antibody,CDX;MSI;MSI-H;TMB;TMB-H,1,1,0,0,0,0,0
NCT05249114,Study of Cabozantinib With Lu-177 in Patients With Somatostatin Receptor 2 Positive Neuroendocrine Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,6,Providence Health & Services,Providence Health & Services,30,0,0,multi_experimental,5,cabozantinib;lu-177,cabozantinib;lu-177,MET,Small Molecule,MET;PD-L1,0,1,1,0,0,0,1
NCT05263050,Trial of an Alternative Cabozantinib Dosing Schedule in Metastatic Renal Cell Carcinoma and Neuroendocrine Tumors,PHASE2,Phase 2,RECRUITING,111,Fox Chase Cancer Center,Fox Chase Cancer Center,34,0,0,multi_experimental,2,cabozantinib,cabozantinib;nivolumab,MET,Small Molecule,PD-L1,0,1,0,0,1,0,0
NCT05459844,A Study Comparing Treatment With Lutetium[177Lu] Oxodotreotide Injection to Octreotide LAR in Patients With GEP-NETs,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,196,Sinotau Pharmaceutical Group,Sinotau Pharmaceutical,6,1,0,active_comparator,2,octreotide lar,lutetium[177lu] oxodotreotide injection,SSTR2,Radiopharmaceutical,Somatostatin Receptor,0,1,1,0,0,0,1
NCT05477576,Study of RYZ101 Compared With SOC in Pts w Inoperable SSTR+ Well-differentiated GEP-NET That Has Progressed Following 177Lu-SSA Therapy,PHASE3,Phase 3,RECRUITING,338,"RayzeBio, Inc.",RayzeBio,7,1,0,active_comparator,4,everolimus;lanreotide;octreotide;ryz101;sunitinib,ryz101,SSTR,Radiopharmaceutical,SSTR,0,1,1,1,0,0,1
NCT05546268,Study of Oral MRT-2359 in Selected Cancer Patients,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,174,"Monte Rosa Therapeutics, Inc",Monte Rosa Therapeutics,2,1,0,multi_experimental,6,oral mrt-2359,oral mrt-2359,MYC,Small Molecule,HER2;MYC;biomarker,0,1,0,0,0,0,0
NCT05636618,Targeted Alpha-Particle Therapy for Advanced Somatostatin Receptor Type 2 (SSTR2) Positive Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,300,Perspective Therapeutics,Perspective Therapeutics,4,1,0,multi_experimental,2,[203pb]vmt-α-net;[212pb]vmt-α-net,[203pb]vmt-α-net;[212pb]vmt-α-net,SSTR2,Radiopharmaceutical,Somatostatin Receptor,0,1,1,0,0,0,1
NCT05652686,A Study of Peluntamig (PT217) in Patients With Neuroendocrine Carcinomas Expressing DLL3 (the SKYBRIDGE Study),PHASE1;PHASE2,Phase 2,RECRUITING,203,Phanes Therapeutics,Phanes Therapeutics,3,1,1,multi_experimental,4,peluntamig (pt217),atezolizumab;carboplatin + etoposide;irinotecan (drug);lurbinectedin;paclitaxel.;peluntamig (pt217);topotecan,DLL3,ADC,DLL3;PR;biomarker,1,1,0,1,1,1,1
