nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,BRAF,first_line,later_line,biomarker_selected
NCT07228442,L19IL2/L19TNF in Patients With Cutaneous Squamous Cell Carcinoma,PHASE2,Phase 2,RECRUITING,92,Philogen S.p.A.,Philogen S.p.A.,45,1,0,single_arm,1,l19il2/l19tnf,l19il2/l19tnf,VEGF/VEGFR,Bispecific Antibody,,1,1,0,0,1,0,0
NCT07251413,Cemiplimab Plus Imiquimod and Laser Therapy As Neoadjuvant Treatment In Cutaneous Basal Cell Carcinoma,PHASE1;PHASE2,Phase 2,RECRUITING,18,Instituto Oncológico Dr Rosell,Instituto Oncológico Dr Rosell,4,0,1,active_comparator,2,cemiplimab,cemiplimab;topical imiquimod,PD-1,Monoclonal Antibody,,1,1,0,0,0,0,0
NCT07273656,Efficacy and Safety of Cryotherapy Followed by Tirbanibulin Ointment for Actinic Keratosis on the Scalp and Forehead,PHASE3,Phase 3,NOT_YET_RECRUITING,59,"University Hospital, Lille","University Hospital, Lille",15,0,0,placebo_comparator,2,cryotherapy + tirbanibulin,cryotherapy + tirbanibulin,,,,0,1,0,0,0,0,0
NCT07288073,TIL Therapy in cSCC and MCC,PHASE2,Phase 2,RECRUITING,14,"Karam Khaddour, MD, MS","Karam Khaddour, MD, MS",1,0,0,multi_experimental,2,cyclophosphamide;fludarabine;interleukin-2;ln-145,cyclophosphamide;fludarabine;interleukin-2;ln-145,PD-L1,Cell Therapy,PD-L1,1,1,1,0,0,0,1
NCT07302347,A Study of Pembrolizumab in Japanese Pediatric Participants With Solid Tumors or Lymphomas and Japanese Adult Participants With Merkel Cell Carcinoma (MK-3475-G21/KEYNOTE-G21),PHASE1;PHASE2,Phase 2,RECRUITING,20,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,MMR;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,0,0,0,1,0
NCT07318675,A Phase Ib Study of HW211026 Ointment in Patients With Actinic Keratosis.,PHASE1,Phase 1,RECRUITING,40,Hubei Bio-Pharmaceutical Industrial Technological Institute Inc.,Hubei Bio-Pharmaceutical Industrial Technological Institute Inc.,3,1,0,placebo_comparator,2,,hw211026,,,,0,0,0,0,0,0,0
NCT07340697,Evaluate RLS-1496 Topical Cream for Actinic Keratosis,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,24,"Rubedo Life Sciences, Inc.",Rubedo Life Sciences,1,1,0,single_arm,1,rls-1496 1.0% cream,rls-1496 1.0% cream,,,,0,1,0,0,0,0,0
NCT07387198,Neoadjuvant Merkel Cell Carcinoma Therapy (Tx) With the PD-1 Inhibitor Cemiplimab,PHASE2,Phase 2,RECRUITING,135,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,28,0,1,placebo_comparator,2,placebo nacl 0.9% solution i.v. on day 1 of every 21 days cycle for 2 cycles.,cemiplimab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,1
NCT07394244,Pucotenlimab Combined With Becotatug Vedotin in Advanced Cutaneous Squamous Cell Carcinoma,PHASE2,Phase 2,NOT_YET_RECRUITING,38,Fudan University,Fudan University,29,0,0,single_arm,1,becotatug vedotin;pucotenlimab,becotatug vedotin;pucotenlimab,PD-1,Monoclonal Antibody,MET;PD-L1;PR;biomarker,1,1,1,0,0,0,1
NCT07513454,A Phase 2 Study of HW211026,PHASE2,Phase 2,NOT_YET_RECRUITING,80,Hubei Bio-Pharmaceutical Industrial Technological Institute Inc.,Hubei Bio-Pharmaceutical Industrial Technological Institute Inc.,3,1,0,multi_experimental,2,hw211026,hw211026,,,,0,1,0,0,0,0,0
NCT07600476,"A First-in-Human Study to Evaluate the Safety, Pharmacokinetics and Pharmacodynamics of KUP-101A in Patients With Selected Advanced Solid Tumors",PHASE1,Phase 1,RECRUITING,21,Kupando GmbH,Kupando,1,1,0,multi_experimental,7,kup-101a,kup-101a,,,,0,1,0,0,0,0,0
NCT07602842,A Study of IDP-001 in Advanced or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,132,"InduPro, Inc.",InduPro,1,1,0,multi_experimental,2,idp-001,idp-001,EGFR,ADC,,1,1,0,0,0,0,0
NCT07670858,Study of Intralesional FLD-103 in Subjects With Basal Cell Carcinoma (BCC),PHASE1,Phase 1,RECRUITING,48,Feldan Therapeutics,Feldan Therapeutics,1,1,0,multi_experimental,11,intralesional fld-103,intralesional fld-103,,,,0,1,0,0,0,0,0
NCT07715734,Cemiplimab for Kidney Transplant Recipients With Advanced Cutaneous Squamous Cell Carcinoma,PHASE2,Phase 2,NOT_YET_RECRUITING,22,Washington University School of Medicine,Washington University School of Medicine,178,0,1,single_arm,1,cemiplimab;cetuximab (egfr inhibitor);sirolimus,cemiplimab;cetuximab (egfr inhibitor);sirolimus,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,1,0,0,0,1
NCT07729579,An Open-Label Pharmacokinetic Study for Patients With Actinic Keratosis on the Upper Extremities or the Face,PHASE1,Phase 1,RECRUITING,48,Sun Pharmaceutical Industries Limited,Sun Pharmaceutical Industries,9,1,0,single_arm,1,device: photodynamic therapy;investigational drug,device: photodynamic therapy;investigational drug,,,,0,1,0,0,0,0,0
NCT07808515,A Study Comparing Cemiplimab-based Treatments for Adult Participants With Locally Advanced Basal Cell Skin Cancer (laBCC),PHASE2,Phase 2,NOT_YET_RECRUITING,135,Regeneron Pharmaceuticals,Regeneron,95,1,1,multi_experimental,4,cemiplimab,cemiplimab;fianlimab;vidutolimod,PD-1,Monoclonal Antibody,,1,1,0,0,0,0,0
