nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1_CPS,HPV_p16,EGFR,MSI-H/dMMR,first_line,later_line,biomarker_selected
NCT03347838,Nivolumab for the Reversal of Squamous Dysplasia in High Risk Current and Former Smokers,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,19,"University of Colorado, Denver","University of Colorado, Denver",46,0,1,single_arm,1,nivolumab,nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,1,0,0,0,0,0,1
NCT03383094,Chemoradiation vs Immunotherapy and Radiation for Head and Neck Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,126,"Loren Mell, MD","Loren Mell, MD",1,0,1,active_comparator,2,cisplatin;radiation therapy,pembrolizumab;radiation therapy,PD-1,Monoclonal Antibody,PD-L1,1,1,1,1,0,0,0,0,1
NCT03389477,"Los Tres Paso: Neoadjuvant Palbociclib Monotherapy, Concurrent Chemoradiation Therapy, Adjuvant Palbociclib Monotherapy in Patients With p16INK4a Negative, HPV-Unrelated Head and Neck Squamous Cell Carcinoma",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,26,Washington University School of Medicine,Washington University School of Medicine,178,0,1,multi_experimental,2,intensity-modulated radiation therapy;palbociclib;peripheral blood draw;tumor biopsy,cetuximab;cisplatin;intensity-modulated radiation therapy;palbociclib;peripheral blood draw;tumor biopsy,CDK4/6,Small Molecule,ER;HER2;PR;genomic,0,1,0,1,0,0,0,0,1
NCT03410615,Cisplatin + Radiotherapy vs Durvalumab + Radiotherapy Followed by Durvalumab vs Durvalumab + Radiotherapy Followed by Tremelimumab + Durvalumab in Intermediate-Risk HPV-Positive Oropharyngeal SCC,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,129,Canadian Cancer Trials Group,Canadian Cancer Trials Group,48,0,1,active_comparator,3,cisplatin;radiation,durvalumab;radiation;tremelimumab,PD-L1,Monoclonal Antibody,EGFR;PD-L1,1,1,1,1,0,0,0,0,1
NCT03435952,Pembrolizumab With Intratumoral Injection of Clostridium Novyi-NT,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,18,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,single_arm,1,clostridium novyi-nt;doxycycline;pembrolizumab,clostridium novyi-nt;doxycycline;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1
NCT03449108,"LN-145 or LN-145-S1 in Treating Patients With Relapsed or Refractory Ovarian Cancer, Triple Negative Breast Cancer (TNBC), Anaplastic Thyroid Cancer, Osteosarcoma, or Other Bone and Soft Tissue Sarcomas",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,multi_experimental,2,aldesleukin;autologous tumor infiltrating lymphocytes ln-145;cyclophosphamide;fludarabine;quality-of-life assessment;questionnaire administration,aldesleukin;autologous tumor infiltrating lymphocytes ln-145;autologous tumor infiltrating lymphocytes ln-145-s1;cyclophosphamide;fludarabine;ipilimumab;nivolumab;quality-of-life assessment;questionnaire administration,,Cell Therapy,ER;HER2;PR,1,1,0,0,0,0,1,1,0
NCT03468218,Pembrolizumab & Cabozantinib in Patients With Head and Neck Squamous Cell Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,36,Emory University,Emory University,116,0,0,single_arm,1,cabozantinib;pembrolizumab,cabozantinib;pembrolizumab,MET,Small Molecule,PD-L1,0,1,0,1,0,0,0,1,1
NCT03474497,"UCDCC#272: IL-2, Radiotherapy, and Pembrolizumab in Patients Refractory to Checkpoint Blockade",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,18,"Megan Daly, MD","Megan Daly, MD",5,0,1,single_arm,1,il-2;pembrolizumab;radiotherapy,il-2;pembrolizumab;radiotherapy,CD19,Cell Therapy,CD19;PD-L1,1,1,1,0,0,0,0,1,1
NCT03476681,Study of NEO-201 in Solid Tumors Expansion Cohorts,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,121,"Precision Biologics, Inc",Precision Biologics,3,1,0,single_arm,1,neo-201 in combination with pembrolizumab,neo-201 in combination with pembrolizumab,Core 1 O-glycans,Monoclonal Antibody,BRAF;MMR;MSI;MSI-H;PD-L1;ROS1;SMICA;TMB;dMMR;genomic,1,1,1,0,1,1,0,0,1
NCT03485209,Efficacy and Safety Study of Tisotumab Vedotin for Patients With Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,350,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,7,tisotumab vedotin,carboplatin;cisplatin;pembrolizumab;tisotumab vedotin,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,1,0,0,0,0,1,1
