nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,AFP,PD-L1,first_line,later_line,biomarker_selected
NCT03875235,Durvalumab or Placebo in Combination With Gemcitabine/Cisplatin in Patients With 1st Line Advanced Biliary Tract Cancer (TOPAZ-1),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,810,AstraZeneca,AstraZeneca,780,1,1,placebo_comparator,2,,durvalumab,PD-L1,Monoclonal Antibody,EGFR,1,0,0,0,1,0,0
NCT03897543,ABX196 in Combination With Nivolumab in Patients With Hepatocellular Carcinoma,PHASE1;PHASE2,Phase 2,RECRUITING,48,Abivax S.A.,Abivax,1,1,0,single_arm,1,abx196,abx196,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0
NCT03907852,Phase 1/2 Trial of Gavo-cel (TC-210) in Patients With Advanced Mesothelin-Expressing Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,57,TCR2 Therapeutics,TCR2 Therapeutics,3,1,1,multi_experimental,3,cyclophosphamide;fludarabine;gavo-cel,cyclophosphamide;fludarabine;gavo-cel;ipilimumab;nivolumab,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0
NCT03916627,"Neoadjuvant Cemiplimab for the Treatment of Resectable NSCLC, HCC, and HNSCC in Adult Patients",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,65,Regeneron Pharmaceuticals,Regeneron,95,1,1,multi_experimental,7,cemiplimab,cemiplimab;fianlimab;platinum doublet,PD-1,Monoclonal Antibody,ALK;ROS1,1,1,0,0,0,0,0
NCT03983954,"Naptumomab Estafenatox in Combination With Durvalumab in Subjects With Selected Advanced or Metastatic Solid Tumor, Including a Cohort Expansion in Esophageal Cancer.",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,NeoTX Therapeutics Ltd.,NeoTX Therapeutics,2,1,1,multi_experimental,11,naptumomab estafenatox and durvalumab,naptumomab estafenatox and durvalumab;obinutuzumab,5T4,Monoclonal Antibody,CD20;ER;HER2;PD-L1;biomarker;biomarker analysis,1,1,0,1,1,0,1
NCT04005339,"NAPOLI-2: Fluorouracil, Leucovorin, and Nanoliposomal Irinotecan in Biliary Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,48,Georgetown University,Georgetown University,55,0,0,single_arm,1,fluorouracil;leucovorin;nanoliposomal irinotecan,fluorouracil;leucovorin;nanoliposomal irinotecan,TOP1,Small Molecule,,0,1,0,0,0,0,0
NCT04008797,A Study of E7386 in Combination With Other Anticancer Drug(s) in Participants With Solid Tumor,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,301,Eisai Inc.,Eisai,177,1,0,multi_experimental,9,lenvatinib,doxorubicin;e7386;lenvatinib;paclitaxel,CBP,Small Molecule,BRAF;KRAS;MSI;MSI-H;TP53,0,1,0,0,0,1,0
NCT04194775,A Study of Nofazinlimab (CS1003) in Subjects With Advanced Hepatocellular Carcinoma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,534,CStone Pharmaceuticals,CStone Pharmaceuticals,26,1,0,placebo_comparator,2,nofazinlimab (cs1003) placebo+lenvatinib,nofazinlimab (cs1003)+lenvatinib,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0
NCT04204850,Cabozantinib to Treat Recurrent Liver Cancer Post Transplant,PHASE2,Phase 2,RECRUITING,20,"University Health Network, Toronto","University Health Network, Toronto",91,0,0,single_arm,1,cabozantinib,cabozantinib,MET,Small Molecule,PD-L1,0,1,0,0,0,0,0
NCT04238637,Immunotherapy Combined With Y-90 SIRT Therapy in Advanced Stage Intrahepatic Biliary Tract Cancer (BTC),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,50,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,28,0,1,multi_experimental,2,durvalumab,durvalumab;tremelimumab,PD-L1,Monoclonal Antibody,EGFR;MET;PD-L1,1,1,0,1,1,0,1
