nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,sarcomatoid,first_line,later_line,biomarker_selected
NCT06026410,KO-2806 Monotherapy and Combination Therapies in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,300,"Kura Oncology, Inc.",Kura Oncology,14,1,0,multi_experimental,7,,adagrasib;cabozantinib;darlifarnib,HRAS,Small Molecule,HRAS;KRAS,0,1,0,0,1,1,0
NCT06047379,"Safety and Efficacy of NEO212 in Patients With Astrocytoma IDH-mutant, Glioblastoma IDH-wildtype or Brain Metastasis",PHASE1;PHASE2,Phase 2,RECRUITING,134,"Neonc Technologies, Inc.",Neonc Technologies,4,1,0,multi_experimental,8,neo212 oral capsule,bevacizumab;carboplatin;folfiri protocol;ipilimumab;neo212 oral capsule;nivolumab;paclitaxel;pembrolizumab;regorafenib,,Small Molecule,,0,1,0,0,0,0,0
NCT06053658,Phase 2 Study of Combination Tivozanib and Nivolumab in Advanced Non-Clear Cell Renal Cell Carcinoma,PHASE2,Phase 2,RECRUITING,48,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,single_arm,1,nivolumab;tivozanib,nivolumab;tivozanib,VEGF/VEGFR,Small Molecule,PD-L1,0,1,1,0,0,0,1
NCT06083922,"A Study of CyBorD (Cyclophosphamide, Bortezomib, Dexamethasone) Plus Daratumumab in People With Monoclonal Gammopathy of Renal Significance (MGRS)",PHASE2,Phase 2,RECRUITING,20,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,multi_experimental,2,bortezomib;cyclophosphamide;daratumumab,bortezomib;cyclophosphamide;daratumumab,CD38,Monoclonal Antibody,,1,1,0,0,0,0,0
NCT06099782,A Study of Participant Reported Preference for Subcutaneous Pembrolizumab Coformulated With Berahyaluronidase Alfa (MK-3475A) Over Intravenous Pembrolizumab (MK-3475) Formulation in Multiple Tumor Types (MK-3475A-F11),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,147,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,2,pembrolizumab;pembrolizumab (+) berahyaluronidase alfa,pembrolizumab;pembrolizumab (+) berahyaluronidase alfa,PD-1,Monoclonal Antibody,ALK;PD-L1;ROS1,1,1,1,0,0,0,1
NCT06127238,Study of ST-1898 in Advanced Renal Cell Carcinoma,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,90,Beijing Scitech-Mq Pharmaceuticals Limited,Beijing Scitech-Mq Pharmaceuticals,3,1,0,multi_experimental,2,st-1898 tablets,st-1898 tablets,RET,Small Molecule,MET;RET,0,1,0,0,0,0,0
NCT06132945,A Study of Cabozantinib and Nivolumab With Radiation Therapy for People With Renal Cell Carcinoma That Has Spread to the Brain,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,2,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,0,single_arm,1,cabozantinib;device: nivolumab;stereotactic radiosurgery (srs),cabozantinib;device: nivolumab;stereotactic radiosurgery (srs),MET,Small Molecule,PD-L1,0,1,0,0,0,0,0
NCT06142396,Pilot Study Dara-CyBorD in Newly Diagnosed Multiple Myeloma Patients With Renal Failure,EARLY_PHASE1,Phase 1,RECRUITING,30,Augusta University,Augusta University,1,0,1,single_arm,1,and dexamethasone;cyclophosphamide;daratumumab-hyaluronidase in combination with bortezomib,and dexamethasone;cyclophosphamide;daratumumab-hyaluronidase in combination with bortezomib,CD38,Monoclonal Antibody,,1,1,0,0,0,0,0
NCT06147037,"A Phase 1, Dose-escalation Study of [225Ac]-FPI-2068 in Adult Patients With Advanced Solid Tumours",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,13,AstraZeneca,AstraZeneca,780,1,1,single_arm,1,[111in]-fpi-2107;[225ac]-fpi-2068;fpi-2053,[111in]-fpi-2107;[225ac]-fpi-2068;fpi-2053,,Bispecific Antibody,,1,1,0,0,0,0,0
NCT06234605,A Study of HC-7366 in Combination With Belzutifan (WELIREG™) in Patients With Renal Cell Carcinoma,PHASE1,Phase 1,RECRUITING,80,"HiberCell, Inc.",HiberCell,11,1,1,multi_experimental,2,hc-7366,belzutifan;hc-7366,GCN2,Small Molecule,VHL,0,1,0,0,0,0,0
NCT06238479,"A Study of LY4101174 in Participants With Recurrent, Advanced or Metastatic Solid Tumors",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,490,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,3,ly4101174,ly4101174,NECTIN4,ADC,NECTIN-4,1,1,0,0,0,0,0
NCT06239194,Dose Escalation and Dose Expansion Study of MDX2001 in Patients With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,285,"ModeX Therapeutics, An OPKO Health Company","ModeX Therapeutics, An OPKO Health",3,1,0,multi_experimental,4,mdx2001,mdx2001,CD3,Bispecific Antibody,MET;TROP2,1,1,0,0,0,0,0
NCT06242470,A Study of MGC026 in Participants With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,250,MacroGenics,MacroGenics,29,1,0,multi_experimental,12,,mgc026 dose escalation;mgc026 dose for expansion,,,,0,1,0,0,0,0,0
NCT06245915,"AB-2100, an Integrated Circuit T Cell Therapy in Patients With Recurrent Clear-cell Renal Cell Carcinoma (ccRCC)",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,37,"Arsenal Biosciences, Inc.",Arsenal Biosciences,3,1,0,single_arm,1,ab-2100,ab-2100,CA9,Cell Therapy,,1,1,0,0,0,0,0
NCT06265025,"GM103 Intratumoral Injection in Patients With Locally Advanced, Unresectable, Refractory and/or Metastatic Solid Tumors",PHASE1;PHASE2,Phase 2,RECRUITING,125,"GeneMedicine Co., Ltd.",GeneMedicine,1,1,0,multi_experimental,3,,gm103 (part a);gm103 (part b);gm103 and pembrolizumab (part c),PD-1,Oncolytic Virus,,1,1,0,0,0,1,0
NCT06284564,A Phase II Study Bolstering Outcomes by Optimizing Immunotherapy Strategies With Evolocumab and Nivolumab in Patients With Metastatic Renal Cell Carcinoma (BOOST-RCC),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,10,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,single_arm,1,evolocumab;nivolumab,evolocumab;nivolumab,PCSK9,Monoclonal Antibody,,1,1,0,1,0,0,1
