nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,HER2,PD-L1_CPS,CLDN18.2,MSI-H/dMMR,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT06445972,Substudy 06D: Combination Therapies in Second Line (2L) Gastroesophageal Adenocarcinoma (MK-3475-06D/Keymaker-U06),PHASE1;PHASE2,Phase 2,RECRUITING,210,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,3,paclitaxel;ramucirumab,her3-dxd;paclitaxel;ramucirumab;rescue medications;sacituzumab tirumotecan,VEGF/VEGFR,Monoclonal Antibody,BRAF;HER2;KRAS;MSI-H;TROP2,1,1,1,0,0,0,1,1,1,HER2+,metastatic · 1st-line · adenoca.
NCT06465069,A Study of LY4052031 in Participants With Advanced or Metastatic Urothelial Cancer or Other Solid Tumors,PHASE1,Phase 1,RECRUITING,420,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,3,ly4052031,ly4052031,NECTIN4,ADC,NECTIN-4,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06469944,Substudy 06C: A Study of Investigational Agents With Pembrolizumab (MK-3475) and Chemotherapy in Participants With First-Line Locally Advanced Unresectable/Metastatic Gastroesophageal Adenocarcinoma (MK-3475-06C/KEYMAKER-U06),PHASE1;PHASE2,Phase 2,RECRUITING,160,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,3,5-fluorouracil (5-fu);capecitabine;leucovorin;oxaliplatin;pembrolizumab,5-fluorouracil (5-fu);capecitabine;leucovorin;patritumab deruxtecan;pembrolizumab;sacituzumab tirumotecan (sac-tmt),PD-1,Monoclonal Antibody,HER2;PD-L1;TROP2,1,1,1,1,0,0,1,0,1,"HER2+, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT06474468,A Trial of SHR-A2102 With Adebrelimab With or Without Other Antitumor Therapy in Advanced or Metastatic Esophageal Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,148,"Shanghai Hengrui Pharmaceutical Co., Ltd.",Hengrui,312,1,0,single_arm,1,shr-a2102；adebrelimab；cisplatin,shr-a2102；adebrelimab；cisplatin,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST) · ECOG 0
NCT06500052,A Study of BL-M17D1 in Patients With Locally Advanced or Metastatic HER2 Positive/Lower Expression Gastrointestinal Cancer and Other Solid Tumors,PHASE1,Phase 1,RECRUITING,20,"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,127,1,0,single_arm,1,bl-m17d1,bl-m17d1,HER2,ADC,HER2,1,1,1,0,0,0,0,0,1,HER2+,metastatic · measurable (RECIST) · ECOG 0
NCT06535607,Study of Volrustomig as Monotherapy or in Combination With Anti- Cancer Agents in Participants With Advanced/Metastatic Solid Tumors,PHASE2,Phase 2,RECRUITING,257,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,8,volrustomig,carboplatin;cisplatin;fluorouracil;paclitaxel;volrustomig,PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,0,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT06545331,Study of XB010 in Subjects With Solid Tumors,PHASE1,Phase 1,RECRUITING,396,Exelixis,Exelixis,52,1,0,multi_experimental,3,xb010,pembrolizumab;xb010,PD-1,,,0,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT06644781,A Study of Ifinatamab Deruxtecan in Subjects With Pretreated Advanced or Metastatic Esophageal Squamous Cell Carcinoma (ESCC) (IDeate-Esophageal01),PHASE3,Phase 3,RECRUITING,510,Daiichi Sankyo,Daiichi Sankyo,178,1,1,active_comparator,2,docetaxel;irinotecan hydrochloride (hcl);paclitaxel,ifinatamab deruxtecan,B7-H3,ADC,,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST) · ECOG 0
NCT06645808,PET-imaging of Two Vartumabs in Patients With Solid Tumors,EARLY_PHASE1,Phase 1,RECRUITING,32,Var2 Pharmaceuticals,Var2 Pharmaceuticals,1,1,0,multi_experimental,2,pet/ct scan,89zr-dfo-n-suc-c9scfv;89zr-dfo-n-suc-f8scfv;pet/ct scan,oncofetal chondroitin sulfate,Radiopharmaceutical,,0,1,0,0,0,0,0,0,0,,adjuvant · squamous
NCT06673329,Brodalumab in the Treatment of Immune-Related Adverse Events,PHASE1,Phase 1,RECRUITING,11,"Brian Henick, MD","Brian Henick, MD",1,0,0,single_arm,1,brodalumab;ct scan,brodalumab;ct scan,IL-17RA,Monoclonal Antibody,,1,1,0,0,0,0,0,0,0,,metastatic
NCT06695845,A Phase 2 Study of Zanidatamab in Patients With HER2-expressing Tumors,PHASE2,Phase 2,RECRUITING,200,Jazz Pharmaceuticals,Jazz Pharmaceuticals,59,1,0,single_arm,1,zanidatamab,zanidatamab,HER2,Bispecific Antibody,ALK;BRAF;EGFR;HER2;KRAS;MET;ROS1,1,1,1,0,0,0,0,0,1,HER2+,metastatic · small-cell · measurable (RECIST)
NCT06710756,Lead-212 PSV359 Therapy for Patients With Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,112,Perspective Therapeutics,Perspective Therapeutics,4,1,0,multi_experimental,2,[203pb]pb-psv359;[212pb]pb-psv359,[203pb]pb-psv359;[212pb]pb-psv359,FAP,Radiopharmaceutical,FAP,0,1,0,0,0,0,0,0,0,,metastatic · ECOG 0-1
NCT06747585,A Study to Investigate ALE.P02 as Monotherapy in Adult Patients With Selected CLDN1+ Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,170,Alentis Therapeutics AG,Alentis Therapeutics,3,1,0,multi_experimental,3,ale.p02,ale.p02,CLDN1,ADC,CLDN1,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT06748872,"EPITOME-1015-I: a Study to Investigate the Safety and Tolerability of MDG1015 in Patients with Epithelial Ovarian Cancer, Gastroesophageal Adenocarcinoma, Round Cell Liposarcoma And/or Synovial Sarcoma",PHASE1,Phase 1,NOT_YET_RECRUITING,55,Medigene AG,Medigene,4,1,0,single_arm,1,lymphodepletion;tcr-t cells (mdg1015),lymphodepletion;tcr-t cells (mdg1015),NY-ESO-1,Cell Therapy,LAGE-1A;NY-ESO-1,1,1,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT06760676,"A Multiple Tumor Species, Open and Multi-center Clinical Study of Alpaloritovorelli Antibodies (QL-1706) Combined with Pulsed Low Dose Rate External Irradiation (PLDR) for Disease Progression After Previous Anti-tumor Therapy",PHASE1,Phase 1,NOT_YET_RECRUITING,90,Anhui Provincial Hospital,Anhui Provincial Hospital,6,0,0,single_arm,1,alpaloritovorelli antibodies;pulsed low dose rate radiotherapy (pldr),alpaloritovorelli antibodies;pulsed low dose rate radiotherapy (pldr),PD-1,,,0,1,0,0,0,0,1,0,0,,metastatic · 1st-line · squamous · measurable (RECIST) · ECOG 0
NCT06769113,A Phase II Clinical Study to Evaluate HLX43 in Patients With Recurrent/Metastatic ESCC Failed or Intolerance to Standard Therapy,PHASE2,Phase 2,RECRUITING,102,Shanghai Henlius Biotech,Shanghai Henlius,98,1,0,multi_experimental,4,hlx43,hlx43,PD-L1,ADC,PD-L1,1,1,0,1,0,0,1,0,1,PD-L1+,metastatic · 1st-line · squamous · measurable (RECIST)
NCT06773507,Phase I Study of BC008-1A Injection in Patients With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,80,"Sichuan Luzhou Buchang Biopharmaceutical Co., Ltd.",Sichuan Luzhou Buchang Biopharmaceutical,3,1,0,multi_experimental,2,bc008-1a,bc008-1a,,Cell Therapy,PD-L1,1,1,0,1,0,0,0,0,1,PD-L1+,metastatic · adenoca. · measurable (RECIST)
NCT06780111,Substudy 06E: Umbrella Study of Combination Therapies in Esophageal Cancer (MK-3475-06E/KEYMAKER-U06),PHASE1;PHASE2,Phase 2,RECRUITING,298,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,5,5-fluorouracil (5-fu);leucovorin;oxaliplatin;pembrolizumab,5-fluorouracil (5-fu);i-dxd;leucovorin;oxaliplatin;pembrolizumab;rescue medication;sacituzumab tirumotecan,PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,0,0,1,0,1,PD-L1+,metastatic · 1st-line · squamous · measurable (RECIST)
NCT06846346,Testing Ivonescimab in Combination With Chemotherapy in Advanced or Metastatic Gastric/Gastroesophageal Adenocarcinoma,PHASE2,Phase 2,RECRUITING,88,UNICANCER,UNICANCER,64,0,0,multi_experimental,2,ivonescimab,FOLFOX;irinotecan;ivonescimab;paclitaxel,PD-1,Bispecific Antibody,BRAF;HER2;MET;MSI;MSI-H;MSS;PD-L1;biomarker;dMMR;pMMR,1,1,1,1,1,1,0,0,1,"HER2+, PD-L1+, CLDN18.2+, MSI-H/dMMR",metastatic · adenoca. · measurable (RECIST)
NCT06852456,"QL1706 in Combination With Neoadjuvant Chemotherapy Versus Neoadjuvant Chemotherapy for Locally Advanced, Resectable Esophageal Squamous Cell Carcinoma",PHASE2,Phase 2,NOT_YET_RECRUITING,30,"Qilu Pharmaceutical Co., Ltd.",Qilu Pharmaceutical,108,1,0,single_arm,1,cisplatin;iparomlimab and tuvonralimab (ql1706)injection;paclitaxel,cisplatin;iparomlimab and tuvonralimab (ql1706)injection;paclitaxel,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT06910657,IDOV-Immune for Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,78,"ViroMissile, Inc.",ViroMissile,1,1,0,single_arm,1,idov-immune (oncolytic vaccinia virus),idov-immune (oncolytic vaccinia virus),,Oncolytic Virus,,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06943521,A Study of MT-4561 in Patients With Various Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,27,"Tanabe Pharma America, Inc.",Tanabe Pharma America,3,1,0,single_arm,1,mt-4561,mt-4561,BRD4,Small Molecule,,0,1,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT07021066,"Evaluate the Safety, Tolerability, Pharmacokinetics and Efficacy of BL-M05D1 in Subjects With Solid Tumors",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,160,SystImmune Inc.,SystImmune,7,1,0,single_arm,1,bl-m05d1,bl-m05d1,CLDN18,ADC,BRAF;CLDN18.2;HER2;KRAS;MET;MMR;MSI;MSI-H;NTRK;PD-L1;dMMR,1,1,1,1,1,1,0,1,1,"HER2+, PD-L1+, CLDN18.2+, MSI-H/dMMR",metastatic · 2nd-line+ · adenoca. · measurable (RECIST) · ECOG 0-1
NCT07039162,Study of Tislelizumab Combined With Chemoradiotherapy and Surgery for Unresectable Esophageal Squamous Cell Carcinoma,PHASE2,Phase 2,RECRUITING,45,Ming-Yu Lien,Ming-Yu Lien,1,0,1,single_arm,1,cisplatin;paclitaxel;radiation therapy;tislelizumab,cisplatin;paclitaxel;radiation therapy;tislelizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT07039526,Single Dose Investigator Initiated Pilot Study to Investigate CYTALUX (Pafolacianine) for Intraoperative Detection of Malignant Tissue in Subjects Undergoing Surgical Resection for Cancer.,PHASE2,Phase 2,RECRUITING,50,John Waters,John Waters,1,0,0,single_arm,1,cytalux (pafolacianine) injection preoperatively,cytalux (pafolacianine) injection preoperatively,FRα,Small Molecule,FRα,0,1,0,0,0,0,0,0,0,,
NCT07059299,A Phase Ib Trial Evaluating the Safety and Activity of Neoadjuvant Combination of Tislelizumab Plus FLOT for Resectable Esophagogastric Adenocarcinoma,PHASE1,Phase 1,RECRUITING,18,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,28,0,1,single_arm,1,FLOT;tislelizumab,FLOT;tislelizumab,PD-1,Monoclonal Antibody,MSI;PD-L1;dMMR,1,1,0,1,0,1,0,0,1,"PD-L1+, MSI-H/dMMR",locally advanced · adenoca.
NCT07070466,Ivonescimab in Comb. With FOLFOX in Advanced HER2 Neg. GEA,PHASE2,Phase 2,RECRUITING,40,Massachusetts General Hospital,Massachusetts General Hospital,170,0,0,single_arm,1,fluorouracil;ivonescimab;leucovorin;oxaliplatin,fluorouracil;ivonescimab;leucovorin;oxaliplatin,PD-1,Bispecific Antibody,BRAF;HER2;MSS;PD-L1;pMMR,1,1,1,1,0,0,0,0,1,"HER2+, PD-L1+",metastatic · adenoca. · measurable (RECIST)
NCT07085091,A First in Human Study of ALX2004 With Advanced or Metastatic Selected Solid Tumors,PHASE1,Phase 1,RECRUITING,170,ALX Oncology Inc.,ALX Oncology,8,1,0,multi_experimental,3,alx2004,alx2004,EGFR,ADC,MSI;MSI-H;dMMR,1,1,0,0,0,1,0,1,1,MSI-H/dMMR,metastatic · 2nd-line+
NCT07090499,A Study to Learn About the Study Medicine Called PF-08046876 in People With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,540,Pfizer,Pfizer,687,1,1,multi_experimental,3,pf-08046876,pf-08046876,ITGB6,ADC,,1,1,0,0,0,0,0,0,0,,advanced · measurable (RECIST)
NCT07109726,A Phase 1/2 Trial of TER-2013 in Patients With Solid Tumors Harboring AKT/PI3K/PTEN Pathway Alterations,PHASE1;PHASE2,Phase 2,RECRUITING,205,Terremoto Biosciences Inc.,Terremoto Biosciences,1,1,0,multi_experimental,4,ter-2013,fulvestrant injection;ter-2013,AKT,Small Molecule,AKT;BRAF;HER2;KRAS;PI3K;PTEN,0,1,1,0,0,0,0,0,1,HER2+,metastatic · adenoca. · measurable (RECIST)
NCT07114601,A Study of LY4257496 in Participants With Cancer (OMNIRAY),PHASE1,Phase 1,RECRUITING,421,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,5,diagnostic test: ly4257529;ly4257496,diagnostic test: ly4257529;ly4257496;standard of care anticancer therapies,GRPR,Radiopharmaceutical,ER;GRPR;HER2,0,1,1,0,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT07179692,CEA-Targeted CAR-T Therapy in CEA-Positive Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,108,"Chongqing Precision Biotech Co., Ltd",Chongqing Precision Biotech,41,1,0,multi_experimental,3,cea-targeted car-t cells,cea-targeted car-t cells,CEA,CAR-T,CEA;MET,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT07181473,"A Study to Evaluate the Safety, Pharmacokinetics and Efficacy of TJ101 in Patients With Advanced/Metastatic Solid Tumors",PHASE1,Phase 1,RECRUITING,200,Phrontline Biopharma,Phrontline Biopharma,2,1,0,single_arm,1,tj101,tj101,EGFR/B7-H3,ADC,biomarker;biomarker analysis,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT07182149,A Phase 1 Study of NRM-823 in Participants With Locally Advanced or Metastatic Refractory Solid Tumors,PHASE1,Phase 1,RECRUITING,150,"Normunity AccelCo, Inc.",Normunity AccelCo,1,1,0,single_arm,1,nrm-823,nrm-823,,Bispecific Antibody,,1,1,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT07189871,"177Lu-BetaBart in Patients With Relapsed/Refractory, Locally Advanced Inoperable, or Metastatic Solid Tumors",PHASE1;PHASE2,Phase 2,RECRUITING,61,"Radiopharm Theranostics, Ltd",Radiopharm Theranostics,7,1,0,single_arm,1,177lu-betabart,177lu-betabart,B7-H3,Radiopharmaceutical,,0,1,0,1,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT07203898,A Study of IPM514 in Patients With Esophageal Squamous Cell Carcinoma.,PHASE1,Phase 1,NOT_YET_RECRUITING,36,Beijing Immupeutics Medicine Technology Limited,Beijing Immupeutics Medicine Technology,1,1,0,single_arm,1,ipm514,ipm514,,,PD-L1,0,1,0,1,0,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT07205731,"Phase II Study Evaluating Safety and Efficacy of Tislelizumab for Elderly Patients Unfit for Chemotherapy, With Advanced Esophageal Squamous-cell Carcinoma",PHASE2,Phase 2,RECRUITING,95,"University Hospital, Clermont-Ferrand","University Hospital, Clermont-Ferrand",5,0,1,single_arm,1,tislelizumab is a fully humanized monoclonal antibody specific for human pd-1,tislelizumab is a fully humanized monoclonal antibody specific for human pd-1,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,0,0,0,0,1,0,0,,metastatic · 1st-line · squamous · measurable (RECIST)
NCT07213791,A Study of LY4337713 in Participants With FAP-Positive Solid Tumors,PHASE1,Phase 1,RECRUITING,241,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,6,ly4337713,ly4337713,FAP,Radiopharmaceutical,FAP;HER2,0,1,1,0,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · adenoca. · ECOG 0-1
NCT07217171,"A Study Evaluating the Safety, Efficacy, and Pharmacokinetics (PK) of EVOLVE104 in Participants With Advanced Urothelial and Squamous Cell Carcinomas",PHASE1,Phase 1,RECRUITING,160,"EvolveImmune United, Inc",EvolveImmune United,1,1,0,multi_experimental,12,evolve104,evolve104,CD3,Bispecific Antibody,,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous
NCT07217704,Using 18F-FAPI PET to Detect Metastatic Disease in Patients That Have Gastric or Esophageal Cancer.,PHASE3,Phase 3,RECRUITING,200,SOFIE,SOFIE,3,1,0,single_arm,1,[18f]fapi-74 pet/ct,[18f]fapi-74 pet/ct,,Radiopharmaceutical,ALK,0,1,0,0,0,0,0,0,0,,metastatic
NCT07218003,A Phase 1/1b of RNDO-564 Single Agent or in Combination With Pembrolizumab in Bladder Cancer and Other Solid Tumors Associated With Nectin-4,PHASE1,Phase 1,ENROLLING_BY_INVITATION,149,Rondo Therapeutics,Rondo Therapeutics,1,1,0,multi_experimental,15,rndo-564,pembrolizumab;rndo-564,NECTIN4,Bispecific Antibody,NECTIN-4,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT07227168,A Study of STRO-004 in Adults With Refractory/Recurrent Metastatic Cancer,PHASE1,Phase 1,RECRUITING,200,"Sutro Biopharma, Inc.",Sutro Biopharma,8,1,0,multi_experimental,3,stro-004,pembrolizumab;stro-004,PD-1,ADC,genomic,1,1,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT07251062,"A Study of SYS6010, Enlonstobart, and Chemotherapy for First-Line Treatment of Esophageal Squamous Cell Carcinoma.",PHASE2;PHASE3,Phase 3,NOT_YET_RECRUITING,737,"CSPC Megalith Biopharmaceutical Co.,Ltd.",CSPC Megalith Biopharmaceutical,29,1,0,active_comparator,7,investigator's choice of soc;sys6010+sg001+ physician's choice (capecitabine or 5-fu),sys6010+sg001;sys6010+sg001+ physician's choice (capecitabine or 5-fu),,ADC,PD-L1,1,1,0,1,0,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT07263919,Perioperative Cadonilimab Combined With Neoadjuvant Chemotherapy in Resectable Esophageal Squamous Cell Carcinoma (ESCC),PHASE2,Phase 2,RECRUITING,90,Akeso,Akeso,103,1,0,active_comparator,3,cisplatin;paclitaxel,cadonilimab (ak104);cisplatin;paclitaxel,PD-1,Bispecific Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT07266493,Efficacy and Safety of Neoadjuvant Envafolimab Combined With Albumin-bound Paclitaxel and Carboplatin for Resectable Locally Advanced Esophageal Squamous Cell Carcinoma,PHASE2,Phase 2,RECRUITING,26,Shanghai Zhongshan Hospital,Shanghai Zhongshan Hospital,14,0,0,single_arm,1,chemotherapy （albumin bound paclitaxel and carboplatin）,chemotherapy （albumin bound paclitaxel and carboplatin）,,,,0,1,0,0,0,0,0,0,0,,neoadjuvant · squamous · ECOG 0-1
NCT07277413,A Study of IDE892 as Monotherapy and Combination in MTAP-deleted Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,260,IDEAYA Biosciences,IDEAYA Biosciences,11,1,0,multi_experimental,4,ide892,ide397;ide892,PRMT5,Small Molecule,MTAP-DELETED;PD-L1;biomarker,0,1,0,1,0,0,0,0,1,PD-L1+,metastatic · adenoca. · measurable (RECIST)
NCT07284186,First-in-Human Study of PLX-61639 in Locally Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,RECRUITING,155,"Plexium, Inc.",Plexium,1,1,0,single_arm,1,plx-61639,plx-61639,SMARCA2,Small Molecule,SMARCA4,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0
NCT07339488,Intestinal Low-Dose Radiotherapy Plus Immunochemotherapy for Conversion of Borderline Resectable/Unresectable Esophageal Squamous Cell Carcinoma,PHASE2,Phase 2,RECRUITING,43,Chuangzhen Chen,Chuangzhen Chen,1,0,0,single_arm,1,intestinal low dose radiotherapy-1gy;pd-1/pd-l1 inhibitors;surgery,intestinal low dose radiotherapy-1gy;pd-1/pd-l1 inhibitors;surgery,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT07341737,SL-28 for Advanced Solid Tumours,PHASE1;PHASE2,Phase 2,RECRUITING,60,Second Life Therapeutics,Second Life Therapeutics,1,1,0,multi_experimental,3,sl-28,sl-28,,,biomarker,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT07367516,Clinical Trial Evaluating TQB6411 Injection in Participant s With Esophageal Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,105,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Chia Tai Tianqing Pharmaceutical,213,1,0,single_arm,1,tqb6411 injection,tqb6411 injection,PD-1,Monoclonal Antibody,PD-L1;biomarker;biomarker analysis,1,1,0,1,0,0,0,0,1,PD-L1+,metastatic · measurable (RECIST) · ECOG 0-1
NCT07390838,A Study of SH009 Injection in Patients With Advanced Solid Tumors.,PHASE1,Phase 1,RECRUITING,150,"Nanjing Sanhome Pharmaceutical, Co., Ltd.",Nanjing Sanhome Pharmaceutical,16,1,0,single_arm,1,sh009,sh009,,,PD-L1;biomarker,0,1,0,1,0,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT07392892,Symbiotic-GI-16: A Study to Learn About the Study Medicine Called PF-08634404 in Combination With Chemotherapy in Gastroesophageal Cancer,PHASE2;PHASE3,Phase 3,RECRUITING,840,Pfizer,Pfizer,687,1,1,active_comparator,3,nivolumab,pf-08634404,PD-1,Bispecific Antibody,MMR-PROFICIENT;MSI-H;PD-L1;dMMR,1,1,0,1,0,0,0,0,1,PD-L1+,metastatic · adenoca. · ECOG 0-1
NCT07431281,"Sonesitatug Vedotin in Combination With Capecitabine With or Without Rilvegostomig in Participants With Advanced or Metastatic Gastric, Gastroesophageal Junction, or Esophageal Adenocarcinoma Expressing Claudin18.2",PHASE3,Phase 3,RECRUITING,2130,AstraZeneca,AstraZeneca,780,1,1,active_comparator,5,capecitabine;fluorouracil;leucovorin;nivolumab;oxaliplatin;zolbetuximab,capecitabine;nivolumab;rilvegostomig;sonesitatug vedotin,PD-1,Monoclonal Antibody,CD30;CLDN18.2;HER2;PD-L1,1,1,1,1,1,0,1,0,1,"HER2+, PD-L1+, CLDN18.2+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT07432295,Givastomig Combined With Nivolumab and Chemotherapy in Adults With CLDN18.2 Positive Metastatic Gastric Cancer (GIVA-2),PHASE2,Phase 2,RECRUITING,180,I-Mab Biopharma US Limited,I-Mab Biopharma US,6,1,0,active_comparator,3,5fluorouracil;capecitabine;leucovorin;nivolumab;oxaliplatin,5fluorouracil;capecitabine;givastomig;leucovorin;nivolumab;oxaliplatin,PD-1,Monoclonal Antibody,CD30;CLDN18.2;HER2;PD-L1,1,1,1,1,1,0,1,1,1,"HER2+, PD-L1+, CLDN18.2+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT07463573,QLC5508 vs. Chemotherapy in Pretreated Advanced or Metastatic Esophageal Squamous Cell Carcinoma,PHASE3,Phase 3,RECRUITING,466,"Qilu Pharmaceutical Co., Ltd.",Qilu Pharmaceutical,108,1,0,active_comparator,2,investigator's choice of chemotherapy (docetaxel;or irinotecan hydrochloride);paclitaxel,qlc5508,B7-H3,ADC,,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT07481058,KC1036 in Combination With PD-1 Antibody and Platinum-based Chemotherapy for First-line Advanced Esophageal Cancer,PHASE2,Phase 2,RECRUITING,60,"Beijing Konruns Pharmaceutical Co., Ltd.",Beijing Konruns Pharmaceutical,10,1,0,multi_experimental,2,cisplatin;kc1036;paclitaxel;toripalimab,cisplatin;kc1036;paclitaxel;toripalimab,PD-1,Small Molecule,,0,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT07487896,A Study of YL201 Versus Investigator's Choice of Chemotherapy in Participants With Locally Advanced or Metastatic Esophageal Squamous Cell Carcinoma After Failure of First-Line Therapy,PHASE3,Phase 3,RECRUITING,440,"MediLink Therapeutics (Suzhou) Co., Ltd.",MediLink Therapeutics (Suzhou),23,1,0,active_comparator,2,docetaxel;irinotecan;paclitaxel,yl201,B7-H3,ADC,,1,1,0,0,0,0,0,0,0,,metastatic · ECOG 0-1
NCT07503808,A Study of IDE034 in Adult Participants With Locally Advanced/Metastatic Solid Tumors Types,PHASE1,Phase 1,RECRUITING,150,IDEAYA Biosciences,IDEAYA Biosciences,11,1,0,multi_experimental,2,ide034,ide034,PTK7,ADC,HER2,1,1,1,0,0,0,0,0,1,HER2−,metastatic · measurable (RECIST) · ECOG 0
NCT07518043,A Study of HLX18 vs. OPDIVO® in Multiple Resected Solid Tumors,PHASE1,Phase 1,RECRUITING,174,Shanghai Henlius Biotech,Shanghai Henlius,98,1,0,active_comparator,2,nivolumab,hlx18,PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,0,0,0,0,1,PD-L1+,stage IV
NCT07519655,Phase 1 Study of PF-08046033 in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,250,Pfizer,Pfizer,687,1,1,multi_experimental,10,pf-08046033,pf-08046033,GPNMB,ADC,GPNMB,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT07544589,A Phase 1 Study Evaluating DISP-10 in Participants With Advanced Gastrointestinal Cancers,PHASE1,Phase 1,RECRUITING,66,Dispatch Biotherapeutics,Dispatch Biotherapeutics,1,1,1,single_arm,1,disp-10,disp-10,BCMA,,,0,1,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT07554456,"A Study of BL-B01D1 in Combination With Tislelizumab ±5-Fluorouracil Versus Platinum-Based Chemotherapy Plus Tislelizumab as First-line Treatment in Patients With Unresectable, Locally Advanced Recurrent or Metastatic Esophageal Squamous Cell Carcinoma(PANKU-Esophagus02)",PHASE2;PHASE3,Phase 3,RECRUITING,90,"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,127,1,0,active_comparator,3,cisplatin;fluorouracil;paclitaxel;tislelizumab,bl-b01d1;fluorouracil;tislelizumab,PD-1,ADC,PD-L1,1,1,0,1,0,0,1,0,1,PD-L1+,metastatic · 1st-line · squamous · measurable (RECIST)
