nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,HER2,PD-L1_CPS,CLDN18.2,MSI-H/dMMR,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT05539430,"Claudin 18.2-Targeted Chimeric Antigen Receptor T-cells in Subjects With Unresectable, Locally Advanced, or Metastatic Gastric, Gastroesophageal Junction (GEJ), Esophageal, or Pancreatic Adenocarcinoma",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,56,Legend Biotech USA Inc,Johnson & Johnson,363,1,0,single_arm,1,lb1908,lb1908,CLDN18.2,CAR-T,CLDN18.2;HER2;PR,1,1,1,0,1,0,1,1,1,"HER2+, CLDN18.2+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT05565417,Study of the Monoclonal Antibody IMT-009 in Patients With Advanced Solid Tumors or Lymphomas,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,67,Immunitas Therapeutics,Immunitas Therapeutics,1,1,0,multi_experimental,3,imt-009,fruquintinib;imt-009,CD161,Monoclonal Antibody,ALK;BRAF;CD161;CLEC2D;CXCL13;HER2;KRAS;MET;MSI;MSI-H;PD-L1;RET;biomarker;dMMR,1,1,1,1,0,1,1,1,1,"HER2+, PD-L1+, MSI-H/dMMR",metastatic · 1st-line · squamous · measurable (RECIST)
NCT05581004,"A Study to Evaluate the Safety, Pharmacokinetics, and Activity of Enzelkitug as a Single Agent and in Combination With Checkpoint Inhibitor in Participants With Locally Advanced or Metastatic Solid Tumors",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,165,"Genentech, Inc.",Roche/Genentech,922,1,1,multi_experimental,4,enzelkitug,atezolizumab;enzelkitug;pembrolizumab,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;TMB,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05667298,Organ-Preserving Endoscopic Resection & Adjuvant RADIO-immuno-chemotherapy for Esophageal Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,11,University of Manitoba,University of Manitoba,2,0,1,multi_experimental,2,,adjuvant chemoradiotherapy;adjuvant immunoradiotherapy (arm1) and adjuvant immunotherapy (arm1b),,Monoclonal Antibody,PD-L1,1,1,0,1,0,0,0,0,1,PD-L1+,metastatic · adenoca.
NCT05713955,OBSiDiAN in a Stapled Circular Esophagogastric Anastomosis After Ivor Lewis Esophagectomy,PHASE2,Phase 2,NOT_YET_RECRUITING,90,"University Hospital, Ghent","University Hospital, Ghent",11,0,0,single_arm,1,device: obsidian,device: obsidian,,,,0,1,0,0,0,0,0,0,0,,metastatic
NCT05799274,Safety of RAD301 in Healthy Human Volunteers and Patients With Pancreatic Cancer or Other Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,9,"Radiopharm Theranostics, Ltd",Radiopharm Theranostics,7,1,0,single_arm,1,rad301 ([68ga]-rad301),rad301 ([68ga]-rad301),,Radiopharmaceutical,PR,0,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT05858736,"Safety, PK and Efficacy of AI-061 in Advanced Solid Tumors",PHASE1,Phase 1,COMPLETED,18,"OncoC4, Inc.",OncoC4,10,1,0,multi_experimental,3,ai-061,ai-061,PD-1,Bispecific Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05891171,Study of AB598 Monotherapy and Combination Therapy in Participants With Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,40,"Arcus Biosciences, Inc.",Arcus Biosciences,21,1,0,multi_experimental,8,ab598,ab598;fluorouracil;leucovorin;oxaliplatin;zimberelimab,CD39,Monoclonal Antibody,HER2,1,1,1,0,0,0,0,0,1,HER2−,metastatic · adenoca. · measurable (RECIST)
NCT05910827,"A Phase Ib/II Study of an Anti-HER3 Antibody, HMBD-001, With Cetuximab +/- Docetaxel in Advanced Squamous Cell Cancers",PHASE1;PHASE2,Phase 2,RECRUITING,398,Hummingbird Bioscience,Hummingbird Bioscience,4,1,1,multi_experimental,3,hmbd-001,cetuximab;docetaxel;hmbd-001,HER3,Monoclonal Antibody,ALK;BRAF;HER3;KRAS;MET;RET,1,1,0,0,0,0,0,0,0,,metastatic · squamous · ECOG 0-1
NCT05944237,HTL0039732 in Participants With Advanced Solid Tumours,PHASE1;PHASE2,Phase 2,RECRUITING,150,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,3,,htl0039732 capsules;htl0039732 capsules and atezolizumab infusion,PD-L1,,HER2;PD-L1;genomic,0,1,1,1,0,0,0,1,1,"HER2+, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05945823,Phase 2 Futibatinib in Combination With PD-1 Antibody Based Standard of Care in Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,53,"Taiho Oncology, Inc.",Taiho,86,1,0,multi_experimental,2,fluorouracil;futibatinib;leucovorin;oxaliplatin;pembrolizumab,cisplatin;fluorouracil;futibatinib;irinotecan;leucovorin;oxaliplatin;pembrolizumab,FGFR2,Small Molecule,FGFR2;PD-L1,0,1,0,1,0,0,0,0,1,PD-L1+,metastatic · adenoca. · measurable (RECIST)
NCT05983432,Evaluate BL-B01D1 in Patients With Metastatic or Unresectable Non-Small Cell Lung Cancer (NSCLC) and Other Solid Tumors,PHASE1,Phase 1,RECRUITING,470,SystImmune Inc.,SystImmune,7,1,0,multi_experimental,2,bl-b01d1,bl-b01d1,EGFR/HER3,ADC,ALK;EGFR;HER2;MET;PD-L1;ROS1;genomic,1,1,1,1,1,0,0,1,1,"HER2+, PD-L1+, CLDN18.2+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST) · ECOG 0-1
NCT06005493,Study of AZD5863 in Adult Participants With Advanced or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,280,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,2,azd5863,azd5863,CLDN18.2,Bispecific Antibody,CLDN18.2,1,1,0,0,1,0,0,0,1,CLDN18.2+,metastatic · adenoca. · measurable (RECIST) · ECOG 0-1
