nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,EGFR_mut,ALK,ROS1,KRAS_G12C,MET,PD-L1,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT06370416,the Prevention of Bone Marrow Suppression Caused by Chemotherapy in Advanced NSCLC With Trilaciclib,PHASE2,Phase 2,ENROLLING_BY_INVITATION,41,Henan Cancer Hospital,Henan Cancer Hospital,27,0,0,single_arm,1,trilaciclib,trilaciclib,CDK4/6,Small Molecule,MET,0,1,0,0,0,0,0,0,1,1,0,,metastatic · 1st-line · squamous · measurable (RECIST) · ECOG 0-1
NCT06375187,A Study of GC203 TIL in Advanced Malignant Solid Tumors,PHASE1,Phase 1,RECRUITING,18,Shanghai Juncell Therapeutics,Shanghai Juncell Therapeutics,19,1,0,single_arm,1,engineering tumor infiltrating lymphocytes,engineering tumor infiltrating lymphocytes,,Cell Therapy,,1,1,0,0,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06380348,"JMT101 in Combination With Osimertinib, Versus Cisplatin-pemetrexed in Participants With Locally Advanced or Metastatic Non-small Cell Lung Cancer (NSCLC) Characterized by Epithermal Growth Factor Receptor (EGFR) Exon 20ins Mutations",PHASE3,Phase 3,NOT_YET_RECRUITING,398,Shanghai JMT-Bio Inc.,Shanghai JMT-Bio,33,1,0,active_comparator,2,cisplatin injection;pemetrexed injection,jmt101 injection;osimertinib tablet,EGFR,Monoclonal Antibody,EGFR;EGFR Exon 20ins,1,1,1,0,0,0,0,0,0,0,1,EGFRm,metastatic · measurable (RECIST)
NCT06380816,A Phase I/II Trial of UCB4594 in Participants With Advanced Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,167,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,2,ucb4594,ucb4594,,,,0,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT06382116,A Study Comparing BL-B01D1 With Platinum Based Chemotherapy in Patients With Locally Advanced or Metastatic Non-small Cell Lung Cancer(PANKU-Lung01),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,432,"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,127,1,0,multi_experimental,2,,bl-b01d1;pemetrexed+cisplatin or carboplatin,EGFR,ADC,EGFR,1,1,1,0,0,0,0,0,0,0,1,EGFRm,metastatic · squamous · measurable (RECIST) · ECOG 0
NCT06382129,A Study Comparing BL-B01D1 With Docetaxel in Patients With Unresectable Locally Advanced or Metastatic EGFR Wild-type Non-small Cell Lung Cancer(PANKU-Lung02),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,698,"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,127,1,0,multi_experimental,2,,bl-b01d1;docetaxel,PD-1,ADC,PD-L1,1,1,1,0,0,0,0,0,0,0,1,EGFRm,metastatic · small-cell · measurable (RECIST) · ECOG 0
NCT06391944,JMT101 Combined With Osimertinib in Patients With Stage Ⅲb-Ⅳ Non-small Cell Lung Cancer (NSCLC) Characterized by Epithermal Growth Factor Receptor (EGFR) Common Mutations,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,161,Shanghai JMT-Bio Inc.,Shanghai JMT-Bio,33,1,0,single_arm,1,jmt101 injection;osimertinib tablet,jmt101 injection;osimertinib tablet,EGFR,Monoclonal Antibody,EGFR Exon 20ins,1,1,0,0,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06396065,Phase III Study of AK112 for NSCLC Patients,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,420,Summit Therapeutics,Summit Therapeutics,5,1,0,active_comparator,2,placebo injection,ak112 injection,PD-L1,Monoclonal Antibody,EGFR,1,1,1,0,0,0,0,0,0,0,1,EGFRm,metastatic · squamous · measurable (RECIST)
NCT06400160,Clinical Trial of TB511 in Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,NOT_YET_RECRUITING,12,"Twinpig Biolab, Inc.",Twinpig Biolab,1,1,0,multi_experimental,2,tb511,tb511,CD18,Peptide,MSI;MSI-H;PD-L1;biomarker,0,1,0,0,0,0,0,1,0,1,1,PD-L1+,metastatic · 2nd-line+ · small-cell · measurable (RECIST) · ECOG 0
NCT06400472,A Study of Sofe-M in Participants With Selected Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,575,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,11,sofe-m,bevacizumab;carboplatin;itraconazole;pembrolizumab;sofe-m,VEGF/VEGFR,Monoclonal Antibody,,1,1,0,0,0,0,0,0,0,0,0,,metastatic · small-cell
NCT06401824,Sacituzumab Govitecan and Bevacizumab for NSCLC Brain Metastases,PHASE2,Phase 2,RECRUITING,25,Maastricht University Medical Center,Maastricht University Medical Center,6,0,1,single_arm,1,sacituzumab govitecan-hziy,sacituzumab govitecan-hziy,TROP2,ADC,MET;PD-L1;TROP2,1,1,0,0,0,0,0,0,0,0,0,,metastatic · squamous
NCT06403735,A Phase I Clinical Study of QLC1101 in Patients With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,250,"Qilu Pharmaceutical Co., Ltd.",Qilu Pharmaceutical,108,1,0,single_arm,1,qlc1101,qlc1101,KRAS,Small Molecule,KRAS,0,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0
NCT06416410,JAB-21822 Combined With JAB-3312 Compared SOC in the First Line for Treatment of Advanced Non-small Cell Lung Cancer With KRAS p.G12C Mutation,PHASE3,Phase 3,RECRUITING,392,"Allist Pharmaceuticals, Inc.",Allist Pharmaceuticals,19,1,0,active_comparator,2,carboplatin;pemetrexed;tislelizumab,jab-21822;jab-3312,KRAS,Small Molecule,KRAS,0,1,0,0,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST) · ECOG 1
NCT06416852,Clinical Study of 18F-Alfatide Injection PET/CT,PHASE3,Phase 3,NOT_YET_RECRUITING,428,Yantai LNC Biotechnology Singapore PTE. LTD.,Yantai LNC Biotechnology Singapore PTE.,5,1,0,single_arm,1,18f-alfatide injection;18f-fdg injection,18f-alfatide injection;18f-fdg injection,,Radiopharmaceutical,,0,1,0,0,0,0,0,0,0,0,0,,metastatic · squamous
NCT06417008,A Study of HS-20117 Combined With Aumolertinib in Participants With Advanced Non-Squamous Non-Small Cell Lung Cancer,PHASE2;PHASE3,Phase 3,RECRUITING,1080,Hansoh BioMedical R&D Company,Hansoh,82,1,0,active_comparator,3,aumolertinib,aumolertinib;hs-20117,EGFR,,MET,0,1,1,0,0,0,0,0,1,0,1,EGFRm,metastatic · 1st-line · measurable (RECIST)
NCT06417814,A Study to Investigate the Efficacy and Safety of Dato-DXd With or Without Osimertinib Compared With Platinum Based Doublet Chemotherapy in Participants With EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer,PHASE3,Phase 3,RECRUITING,744,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,3,,carboplatin;cisplatin;dato-dxd;osimertinib;pemetrexed,TROP1,ADC,EGFR;TROP1,1,1,1,0,0,0,0,0,0,0,1,EGFRm,metastatic · squamous · measurable (RECIST)
NCT06419179,"Maintenance Durvalumab (MEDI4736) and Olaparib (AZD2281) After Standard 1st Line Treatment (Carboplatin/Cisplatin, Etoposide, Durvalumab) in HRD Positive Extensive Disease (ED) Small-cell Lung Cancer (SCLC)",PHASE2,Phase 2,ENROLLING_BY_INVITATION,29,University of Cologne,University of Cologne,14,0,1,single_arm,1,durvalumab;olaparib,durvalumab;olaparib,PD-L1,Monoclonal Antibody,EGFR,1,1,0,0,0,0,0,0,1,0,0,,metastatic · 1st-line · small-cell · measurable (RECIST)
NCT06422143,Pembrolizumab With or Without Maintenance Sacituzumab Tirumotecan (Sac-TMT; MK-2870) in Metastatic Squamous Non-small Cell Lung Cancer (NSCLC) [MK-2870-023],PHASE3,Phase 3,RECRUITING,851,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,2,carboplatin;nab-paclitaxel;paclitaxel;pembrolizumab,carboplatin;nab-paclitaxel;paclitaxel;pembrolizumab;sac-tmt,PD-1,Monoclonal Antibody,PD-L1;TROP2,1,1,0,0,0,0,0,1,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST) · ECOG 0
NCT06424665,A Study of FZ-AD005 in Patients With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,162,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd.",Shanghai Fudan-Zhangjiang Bio-Pharmaceutical,13,1,0,single_arm,1,fz-ad005,fz-ad005,,Cell Therapy,,1,1,0,0,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06427941,"A Phase 1/2 Study of BGB-B2033, Alone or in Combination With Tislelizumab With or Without Bevacizumab, in Participants With Advanced or Metastatic Solid Tumors",PHASE1;PHASE2,Phase 2,RECRUITING,630,BeOne Medicines,BeiGene/BeOne,149,1,0,multi_experimental,7,bgb-b2033,bevacizumab;bgb-b2033;tislelizumab,4-1BB/GPC3,Bispecific Antibody,GPC3,1,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT06430437,A Study of SHR-A1811 in First-line Treatment of Patients With Advanced or Metastatic Non-small Cell Lung Cancer With HER2 Mutations,PHASE3,Phase 3,RECRUITING,300,"Jiangsu HengRui Medicine Co., Ltd.",Hengrui,312,1,0,active_comparator,2,pd-1/pd-l1 inhibitors、pemetrexed/ paclitaxel、carboplatin/ cisplatin,shr-a1811,HER2,ADC,HER2,1,1,0,0,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST) · ECOG 0
NCT06430866,Pharmacokinetic Similarity Between ABP 234 and Keytruda® (Pembrolizumab),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,163,Amgen,Amgen,323,1,1,active_comparator,2,pembrolizumab,abp 234,PD-1,Monoclonal Antibody,ALK;PD-L1;biomarker,1,1,0,1,0,0,0,1,0,0,1,"ALK+, PD-L1+",adjuvant · squamous
NCT06437509,A Study of BL-B01D1+PD-1 Monoclonal Antibody in Patients With Extensive-stage Small Cell Lung Cancer,PHASE2,Phase 2,RECRUITING,66,"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,127,1,0,single_arm,1,bl-b01d1;pd-1 monoclonal antibody,bl-b01d1;pd-1 monoclonal antibody,PD-1,ADC,,1,1,0,0,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST) · ECOG 0-1
NCT06444815,A Study of VET3-TGI in Patients With Solid Tumors,PHASE1,Phase 1,RECRUITING,60,KaliVir Immunotherapeutics,KaliVir Immunotherapeutics,1,1,0,multi_experimental,4,vet3-tgi,atezolizumab;vet3-tgi,TGF-β,Oncolytic Virus,,1,1,0,0,0,0,0,1,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT06447662,A Study to Learn About the Study Medicine PF-07934040 When Given Alone or With Other Anti-cancer Therapies in People With Advanced Solid Tumors That Have a Genetic Mutation.,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,64,Pfizer,Pfizer,687,1,1,multi_experimental,11,pf-07934040,bevacizumab;carboplatin;cetuximab;cisplatin;fluorouracil;gemcitabine;leucovorin;nab-paclitaxel;oxaliplatin;paclitaxel;pembrolizumab;pemetrexed;pf-07934040;sasanlimab,KRAS,Small Molecule,ALK;KRAS;ROS1;genomic,0,1,0,1,1,0,0,1,0,1,1,"ALK+, ROS1+, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST) · ECOG 0
NCT06448312,A Study of SKB264 in Combination With Pembrolizumab Versus Pembrolizumab in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,406,"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.",Kelun,50,1,0,active_comparator,2,pembrolizumab,pembrolizumab;skb264,TROP2,ADC,HER2;PD-L1;TROP2,1,1,0,0,0,0,0,1,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT06448572,EXL01 in Combination With Nivolumab for Advanced NSCLC Refractory to Immunotherapy.,PHASE1;PHASE2,Phase 2,RECRUITING,21,"University Hospital, Lille","University Hospital, Lille",15,0,0,single_arm,1,exl01,exl01,PD-1,,ALK;BRAF;HER2;KRAS;MET;RET;ROS1,0,1,0,0,1,0,1,0,0,0,1,"ROS1+, MET+",metastatic · small-cell · measurable (RECIST)
NCT06448754,Volrustomig Priming Regimens Exploratory Phase II Platform Study,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,194,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,3,carboplatin;pemetrexed;volrustomig,carboplatin;paclitaxel;pemetrexed;ramucirumab;volrustomig,VEGF/VEGFR,Monoclonal Antibody,BRAF;KRAS;MSI-H;genomic,1,1,0,0,0,0,0,0,0,0,0,,metastatic · small-cell
NCT06449209,"Safety, Preliminary Effectiveness of BNT327, an Investigational Therapy for Patients With Small-cell Lung Cancer in Combination With Chemotherapy",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,110,BioNTech SE,BioNTech,45,1,0,multi_experimental,6,,bnt327 dose level 1 (dl1);bnt327 dose level 2 (dl2);carboplatin;etoposide;paclitaxel;topotecan,HER2,mRNA,HER2,0,1,0,0,0,0,0,0,1,1,0,,metastatic · 1st-line · squamous · measurable (RECIST)
NCT06449313,Neoadjuvant Chemo-Immunotherapy and Surgical Resection in Locally Advanced Non-small Cell Lung Cancer With N3 Lymph Node or Other High Risk Features,PHASE2,Phase 2,RECRUITING,21,Georgetown University,Georgetown University,55,0,1,single_arm,1,cemiplimab-rwlc,cemiplimab-rwlc,PD-1,Monoclonal Antibody,ALK;MET;PD-L1,1,1,0,0,0,0,0,1,0,0,1,PD-L1+,metastatic · squamous
NCT06451497,"This is a Phase 1 Trial of ZM008, an Anti-LLT1 Antibody, Used as Single Agent Followed by Combination Treatment With Toripalimab in Patients With Advanced Solid Tumors",PHASE1,Phase 1,RECRUITING,100,Zumutor Biologics Inc.,Zumutor Biologics,1,1,0,single_arm,1,zm008,zm008,LLT1,Monoclonal Antibody,,1,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT06452277,"A Study to Learn More About How Well Sevabertinib Works and How Safe it is Compared With Standard Treatment, in Participants Who Have Advanced Non-small Cell Lung Cancer (NSCLC) With Mutations of the Human Epidermal Growth Factor Receptor 2 (HER2)",PHASE3,Phase 3,RECRUITING,444,Bayer,Bayer,283,1,1,active_comparator,2,carboplatin;cisplatin;pembrolizumab;pemetrexed,sevabertinib,HER2,Small Molecule,HER2,0,1,0,0,0,0,0,0,0,0,0,,metastatic · squamous
NCT06456138,Trametinib Plus Anlotinib Combined With Tislelizumab in KRAS-mutant NSCLC,PHASE1;PHASE2,Phase 2,NOT_YET_RECRUITING,60,Shanghai Chest Hospital,Shanghai Chest Hospital,12,0,1,single_arm,1,anlotinib;tislelizumab;trametinib,anlotinib;tislelizumab;trametinib,MEK,Small Molecule,BRAF;KRAS;MET;PR,0,1,0,0,0,0,0,0,1,0,0,,metastatic · 1st-line · small-cell · measurable (RECIST) · ECOG 0
NCT06461156,A Study of HS-10504 in Patients With Advanced or Metastatic Non-Small-Cell Lung Cancer(NSCLC),PHASE1,Phase 1,RECRUITING,230,"Jiangsu Hansoh Pharmaceutical Co., Ltd.",Hansoh,82,1,0,single_arm,1,hs-10504,hs-10504,EGFR,Small Molecule,EGFR,0,1,0,0,0,0,0,0,0,0,0,,metastatic · measurable (RECIST) · ECOG 0-1
NCT06463665,Efficacy & Safety of Olvimulogene Nanivacirepvec & Platinum-doublet + Physician's Choice of Immune Checkpoint Inhibitor Compared to Docetaxel in NSCL Cancer,PHASE2,Phase 2,RECRUITING,142,Genelux Corporation,Genelux,6,1,0,active_comparator,4,docetaxel,atezolizumab;cemiplimab;durvalumab;nivolumab;non-platinum chemotherapy: paclitaxel or nab-paclitaxel for squamous cell nsclc or pemetrexed for nonsquamous cell nsclc;olvimulogene nanivacirepvec;physician's choice of immune checkpoint inhibitor: pembrolizumab;platinum chemotherapy: carboplatin or cisplatin,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,1,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
