cluster,n,대표 제약사,대조군 치료 B,바이오마커,phase,대표 NCT,다른 제약사
0,2,Amgen,sotorasib,-,Phase 1,NCT04185883,"Intensity Therapeutics, Inc."
1,3,"Deciphera Pharmaceuticals, LLC (빅파마 없음·최근접)",sunitinib,-,Phase 3,NCT03673501,"Cogent Biosciences, Inc."
2,8,Pfizer,irinotecan;temozolomide,translocation,Phase 2,NCT03709680,"Eli Lilly and Company, Valent Technologies, LLC, Valo Therapeutics Oy, HRYZ Biotech Co., ITM Solucin GmbH, Ningbo Newbay Technology Development Co., Ltd"
3,2,"Advenchen Laboratories, LLC (빅파마 없음·최근접)",dacarbazine,-,Phase 3,NCT03016819,Philogen S.p.A.
