cluster,n,대표 제약사,대조군 치료 B,바이오마커,phase,대표 NCT,다른 제약사
0,12,"Janssen Research & Development, LLC",niraparib,-,Phase 2,NCT03431350,"NeoTX Therapeutics Ltd., Alessa Therapeutics Inc., OncoC4, Inc., Jiangsu Hansoh Pharmaceutical Co., Ltd., Bivision Pharmaceuticals, Inc., Nammi Therapeutics Inc, Fusion Pharmaceuticals Inc., Jiangsu HengRui Medicine Co., Ltd. …"
1,21,Exelixis,abiraterone;enzalutamide,-,Phase 3,NCT04446117,"POINT Biopharma, a wholly owned subsidiary of Eli Lilly and Company, Curium US LLC, Sun Pharmaceutical Industries Limited, Janssen Research & Development, LLC, Jiangsu HengRui Medicine Co., Ltd., AstraZeneca, Merck Sharp & Dohme LLC, Telix Pharmaceuticals (Innovations) Pty Limited …"
2,4,"Janssen Research & Development, LLC",apalutamide,-,Phase 1,NCT03523442,"Aragon Pharmaceuticals, Inc., Monte Rosa Therapeutics, Inc"
3,5,Novartis Pharmaceuticals,standard_of_care,"AR, PSMA",Phase 3,NCT06780670,"Cellvax Therapeutics Inc, Norroy Bioscience Co., LTD"
4,17,Eli Lilly and Company,abiraterone,-,Phase 3,NCT03706365,"Aragon Pharmaceuticals, Inc., AstraZeneca, Janssen Research & Development, LLC, Jiangsu HengRui Medicine Co., Ltd., Astellas Pharma Global Development, Inc., R-Pharm International, LLC, Sichuan Baili Pharmaceutical Co., Ltd., Evopoint Biosciences Inc."
5,7,Bayer,darolutamide,AR,Phase 2,NCT05059236,"Celcuity Inc, Novartis Pharmaceuticals, Daiichi Sankyo, ORIC Pharmaceuticals"
6,7,AstraZeneca,docetaxel,-,Phase 3,NCT05348577,"Merck Sharp & Dohme LLC, Janssen Research & Development, LLC, BioNTech SE, Qilu Pharmaceutical Co., Ltd."
7,11,"Astellas Pharma Global Development, Inc.",enzalutamide,-,Phase 2,NCT02960022,"Pfizer, Zenith Epigenetics, Syntrix Biosystems, Inc., Alessa Therapeutics Inc., Evopoint Biosciences Inc., Jiangsu HengRui Medicine Co., Ltd., Hyundai Bioscience Co., Ltd."
