cluster,n,대표 제약사,대조군 치료 B,바이오마커,phase,대표 NCT,다른 제약사
0,102,Takeda,carboplatin;cisplatin;pemetrexed,EGFR_mut,Phase 3,NCT04129502,"AstraZeneca, Hoffmann-La Roche, Merck Sharp & Dohme LLC, Bristol-Myers Squibb, Eli Lilly and Company, BeiGene, Daiichi Sankyo, Janssen Research & Development, LLC …"
1,77,Amgen,topotecan,-,Phase 3,NCT05740566,"Eli Lilly and Company, Novartis Pharmaceuticals, Hoffmann-La Roche, AstraZeneca, Xcovery Holdings, Inc., EMD Serono Research & Development Institute, Inc., Pfizer, Prestige Biopharma Limited …"
2,57,Merck Sharp & Dohme LLC,pembrolizumab,PD-L1,Phase 2,NCT02628067,"Eli Lilly and Company, Precision Biologics, Inc, Nanobiotix, ImmunoVaccine Technologies, Inc. (IMV Inc.), Daiichi Sankyo, USWM CT, LLC, Mirati Therapeutics Inc., Teclison Ltd. …"
3,41,AstraZeneca,docetaxel,-,Phase 3,NCT01933932,"GlaxoSmithKline, Daiichi Sankyo, Mirati Therapeutics Inc., AbbVie, Gilead Sciences, Novartis Pharmaceuticals, OncoC4, Inc., Akeso …"
4,20,AstraZeneca,durvalumab,PD-L1,Phase 2,NCT03693300,"NeoTX Therapeutics Ltd., Hoffmann-La Roche, Innate Pharma, Amgen, Johnson & Johnson Enterprise Innovation Inc., Eli Lilly and Company, Boehringer Ingelheim, Bristol-Myers Squibb …"
5,33,AstraZeneca,osimertinib,EGFR_mut,Phase 2,NCT03239340,"Ascentage Pharma Group Inc., Janssen Research & Development, LLC, Sichuan Baili Pharmaceutical Co., Ltd., TYK Medicines, Inc, Shanghai JMT-Bio Inc., Avistone Biotechnology Co., Ltd., Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd., Allist Pharmaceuticals, Inc. …"
6,16,"Asher Biotherapeutics, Inc.",fluorouracil,-,Phase 1,NCT05653882,"BioEclipse Therapeutics, Seagen, a wholly owned subsidiary of Pfizer, Precision Biotech Taiwan Corp., Allist Pharmaceuticals, Inc., ArriVent BioPharma, Inc., Wuhan YZY Biopharma Co., Ltd., InxMed (Shanghai) Co., Ltd., MediLink Therapeutics (Suzhou) Co., Ltd. …"
7,36,Hoffmann-La Roche,atezolizumab;carboplatin;etoposide,-,Phase 3,NCT04665856,"AstraZeneca, EpicentRx, Inc., Novartis Pharmaceuticals, Merck Sharp & Dohme LLC, Shanghai Henlius Biotech, RayzeBio, Inc., Genprex, Inc., Akeso …"
8,12,"Jiangsu Hansoh Pharmaceutical Co., Ltd. (빅파마 없음·최근접)",s-1,EGFR_mut,Phase 1,NCT05430386,"Volastra Therapeutics, Inc., TwoStep Therapeutics, Inc."
