cluster,n,대표 제약사,대조군 치료 B,바이오마커,phase,대표 NCT,다른 제약사
0,10,"Medicenna Therapeutics, Inc.",pembrolizumab,-,Phase 2,NCT05086692,"NeoTX Therapeutics Ltd., USWM CT, LLC, Seagen, a wholly owned subsidiary of Pfizer, Hoffmann-La Roche, Rapa Therapeutics LLC, Qurient Co., Ltd., Pfizer, Shanghai Henlius Biotech …"
1,9,Daiichi Sankyo,docetaxel;irinotecan;paclitaxel,-,Phase 3,NCT06644781,"Sunshine Lake Pharma Co., Ltd., Sichuan Baili Pharmaceutical Co., Ltd., Merck Sharp & Dohme LLC, Beijing Konruns Pharmaceutical Co., Ltd., Qilu Pharmaceutical Co., Ltd., MediLink Therapeutics (Suzhou) Co., Ltd., Hansoh BioMedical R&D Company"
2,9,AstraZeneca,FP;capecitabine,PD-L1_CPS,Phase 3,NCT04550260,"Jazz Pharmaceuticals, Shandong Boan Biotechnology Co., Ltd, CSPC ZhongQi Pharmaceutical Technology Co., Ltd., Shanghai Hengrui Pharmaceutical Co., Ltd., Qilu Pharmaceutical Co., Ltd., Akeso, Beijing Konruns Pharmaceutical Co., Ltd., Sichuan Baili Pharmaceutical Co., Ltd."
3,9,Merck Sharp & Dohme LLC,FOLFOX;capecitabine;pembrolizumab,"HER2, PD-L1_CPS",Phase 2,NCT06469944,"Taiho Oncology, Inc., CSPC Megalith Biopharmaceutical Co.,Ltd., AstraZeneca, I-Mab Biopharma US Limited, BeOne Medicines, Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd."
