B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
pembrolizumab,4,3,2,7.2,1,262,100,0,0.7299999992699999
cemiplimab,3,2,3,6.2,1,735,100,33,0.2199999998110687
