cluster,n,대표 제약사,대조군 치료 B,바이오마커,phase,대표 NCT,다른 제약사
0,17,"Peloton Therapeutics, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",cabozantinib,-,Phase 2,NCT03634540,"Hoffmann-La Roche, NeoTX Therapeutics Ltd., Merck Sharp & Dohme LLC, MedImmune LLC, Allogene Therapeutics, Hutchmed, Asher Biotherapeutics, Inc., Adicet Therapeutics …"
1,5,Eisai Inc.,sunitinib,-,Phase 3,NCT02811861,"AstraZeneca, Chia Tai Tianqing Pharmaceutical Group Co., Ltd., Exelixis"
2,6,Bristol-Myers Squibb,nivolumab,"PD-L1, sarcomatoid",Phase 3,NCT04810078,"Exelixis, 7 Hills Pharma, LLC, Osel, Inc., Zhejiang Haichang Biotech Co., Ltd."
3,2,"Xynomic Pharmaceuticals, Inc. (빅파마 없음·최근접)",pazopanib,-,Phase 3,NCT03592472,"Imbioray (Hangzhou) Biomedicine Co., Ltd."
4,10,"Medicenna Therapeutics, Inc.",pembrolizumab,-,Phase 2,NCT05086692,"Nanobiotix, Merck Sharp & Dohme LLC, Hoffmann-La Roche, Sichuan Baili Pharmaceutical Co., Ltd., Shanghai Henlius Biotech"
