cluster,n,대표 제약사,대조군 치료 B,바이오마커,phase,대표 NCT,다른 제약사
0,1,NeoTX Therapeutics Ltd.,durvalumab,PD-L1,Phase 1,NCT03983954,-
1,3,Merck Sharp & Dohme LLC,pembrolizumab,PD-L1,Phase 2,NCT02628067,"Medicenna Therapeutics, Inc."
2,2,AstraZeneca,carboplatin;cisplatin;ipilimumab;nivolumab;pemetrexed,-,Phase 3,NCT06097728,"7 Hills Pharma, LLC"
3,1,TCR2 Therapeutics,cyclophosphamide,-,Phase 2,NCT03907852,-
