B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
pembrolizumab,3,2,3,4.8,0,1883,100,67,0.7999999987294465
ipilimumab,2,2,1,4.6,1,989,100,50,0.0
nivolumab,2,2,1,4.6,1,989,100,50,0.0
