cluster,n,대표 제약사,대조군 치료 B,바이오마커,phase,대표 NCT,다른 제약사
0,4,"Suzhou Suncadia Biopharmaceuticals Co., Ltd. (빅파마 없음·최근접)",bevacizumab,-,Phase 2,NCT06859775,"Sichuan Baili Pharmaceutical Co., Ltd., Suzhou Zelgen Biopharmaceuticals Co.,Ltd, Jiangsu Alphamab Biopharmaceuticals Co., Ltd"
1,15,Merck Sharp & Dohme LLC,bevacizumab;carboplatin;cisplatin;paclitaxel;pembrolizumab,-,Phase 3,NCT07216703,"AstraZeneca, Akeso, Kortuc, Inc., Guangzhou Gloria Biosciences Co., Ltd., Bio-Thera Solutions, Lee's Pharmaceutical Limited, Shandong New Time Pharmaceutical Co., LTD, GlaxoSmithKline …"
2,5,"Evergreen Therapeutics, Inc. (빅파마 없음·최근접)",lenvatinib;pembrolizumab,MSI-H/dMMR,Phase 3,NCT05077215,"Eisai Inc., CSPC Megalith Biopharmaceutical Co.,Ltd., Shanghai Jiatan Pharmatech Co., Ltd"
3,10,Gilead Sciences,doxorubicin;paclitaxel,PD-L1,Phase 3,NCT06486441,"Merck Sharp & Dohme LLC, HRYZ Biotech Co., BioNTech SE, Faeth Therapeutics, Hutchmed, BioMimetix JV, LLC, Corcept Therapeutics, AstraZeneca …"
4,10,Merck Sharp & Dohme LLC,gemcitabine;irinotecan;pemetrexed;topotecan;vinorelbine,PD-L1,Phase 3,NCT06459180,"NeoTX Therapeutics Ltd., Seagen, a wholly owned subsidiary of Pfizer, Volastra Therapeutics, Inc., HRYZ Biotech Co., SCG Cell Therapy Pte. Ltd., AstraZeneca, Suzhou Suncadia Biopharmaceuticals Co., Ltd., Jiangsu Alphamab Biopharmaceuticals Co., Ltd …"
5,9,Merck Sharp & Dohme LLC,pembrolizumab,"MSI-H/dMMR, PD-L1",Phase 2,NCT02628067,"Precision Biologics, Inc, USWM CT, LLC, Medicenna Therapeutics, Inc., Qurient Co., Ltd., Precigen, Inc, Pfizer, GlaxoSmithKline"
