B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
CAPOX,17,13,4,43.4,12,8276,94,88,0.9401982941690805
paclitaxel,13,11,5,32.0,8,4385,100,100,0.7716180072103606
pembrolizumab,12,11,7,27.0,6,4451,83,83,0.7441073543305613
FOLFOX,11,9,6,26.0,6,5918,82,100,0.6783265029546974
trastuzumab,11,8,5,26.8,7,4661,91,100,0.6506492970131933
capecitabine,9,7,4,20.0,4,4573,89,89,0.5319629604440661
irinotecan,8,7,2,21.2,6,2919,88,88,0.46313255800817
nivolumab,7,7,2,14.8,3,4450,100,71,0.41809821653585294
ramucirumab,6,6,4,15.2,4,1927,100,100,0.40917419669431115
docetaxel,6,6,2,18.0,6,2758,83,100,0.38123552887217854
FP,4,3,2,10.6,3,2702,100,100,0.26490896344574
zolbetuximab,2,2,2,4.6,1,2273,100,100,0.1692975455319282
tislelizumab,3,3,0,6.2,1,708,100,100,0.1644770463522806
SOX,3,2,0,7.6,2,1612,100,33,0.13889220066217045
tucatinib,3,2,3,4.2,0,119,0,100,0.11652661063433804
sintilimab,2,2,0,2.6,0,142,100,50,0.06051119489910281
