cluster,n,대표 제약사,대조군 치료 B,바이오마커,phase,대표 NCT,다른 제약사
0,4,"Replimune, Inc.",cemiplimab,PD-L1,Phase 2,NCT04050436,"SkinJect, Inc., Regeneron Pharmaceuticals"
1,4,"Medicenna Therapeutics, Inc.",pembrolizumab,-,Phase 2,NCT05086692,"TuHURA Biosciences, Inc., Merck Sharp & Dohme LLC"
2,1,"Fujifilm Pharmaceuticals U.S.A., Inc. (빅파마 없음·최근접)",topotecan,-,Phase 1,NCT04047251,-
3,1,"Rubedo Life Sciences, Inc. (빅파마 없음·최근접)",s-1,-,Phase 2,NCT07340697,-
