cluster,n,대표 제약사,대조군 치료 B,바이오마커,phase,대표 NCT,다른 제약사
0,6,Novartis Pharmaceuticals,octreotide,"SSTR, Ki-67",Phase 3,NCT06784752,"Hoffmann-La Roche, Camurus AB, Sinotau Pharmaceutical Group, RayzeBio, Inc., Jiangsu HengRui Medicine Co., Ltd."
1,4,Boehringer Ingelheim,carboplatin;etoposide,Ki-67,Phase 3,NCT07544654,"Nanjing Leads Biolabs Co.,Ltd"
2,5,ITM Solucin GmbH (빅파마 없음·최근접),FOLFOX;capecitabine;everolimus;temozolomide,SSTR,Phase 3,NCT04919226,"Biotheus Inc., CSPC ZhongQi Pharmaceutical Technology Co., Ltd., Suzhou Zelgen Biopharmaceuticals Co.,Ltd"
3,2,Merck Sharp & Dohme LLC,pembrolizumab,-,Phase 2,NCT02628067,-
