cluster,n,대표 제약사,대조군 치료 B,바이오마커,phase,대표 NCT,다른 제약사
0,54,AstraZeneca,fluorouracil;fulvestrant,HR/ER,Phase 3,NCT00099437,"Eli Lilly and Company, Phoenix Molecular Designs, Hoffmann-La Roche, BioEclipse Therapeutics, Novartis Pharmaceuticals, Seagen, a wholly owned subsidiary of Pfizer, Laekna Limited, Xuanzhu Biopharmaceutical Co., Ltd. …"
1,21,Novartis Pharmaceuticals,pertuzumab;trastuzumab,"HER2, PIK3CA",Phase 3,NCT04208178,"AstraZeneca, Seagen, a wholly owned subsidiary of Pfizer, Shanghai JMT-Bio Inc., Jiangsu HengRui Medicine Co., Ltd., RemeGen Co., Ltd., Sichuan Baili Pharmaceutical Co., Ltd., Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd., Jazz Pharmaceuticals …"
2,50,AstraZeneca,capecitabine;carboplatin;cyclophosphamide;doxorubicin;epirubicin;olaparib;paclitaxel;pembrolizumab,"HR/ER, HER2",Phase 3,NCT06112379,"US Oncology Research, Hoffmann-La Roche, Eli Lilly and Company, Nanobiotix, NeoTX Therapeutics Ltd., Eisai Inc., Gilead Sciences, GlaxoSmithKline …"
3,26,Eli Lilly and Company,anastrozole;letrozole,"HR/ER, HER2",Phase 3,NCT02246621,"Novartis Pharmaceuticals, Hoffmann-La Roche, AstraZeneca, Tolmar Inc., Xuanzhu Biopharmaceutical Co., Ltd., Chia Tai Tianqing Pharmaceutical Group Co., Ltd., Genor Biopharma Co., Ltd., Pfizer …"
4,7,Hoffmann-La Roche,standard_of_care,"HR/ER, HER2",Phase 3,NCT04961996,"OBI Pharma, Inc, BriaCell Therapeutics Corporation, Qilu Pharmaceutical Co., Ltd., Akeso"
5,35,AstraZeneca,capecitabine;nab-paclitaxel;paclitaxel,"HR/ER, HER2",Phase 3,NCT04494425,"Daehwa Pharmaceutical Co., Ltd., Hoffmann-La Roche, Merck Sharp & Dohme LLC, Daiichi Sankyo, Oncolytics Biotech, Shanghai Henlius Biotech, Akeso, Gilead Sciences …"
6,14,Gilead Sciences,capecitabine;eribulin;gemcitabine;vinorelbine,"HR/ER, HER2",Phase 3,NCT04639986,"AstraZeneca, CSPC ZhongQi Pharmaceutical Technology Co., Ltd., Jiangsu Alphamab Biopharmaceuticals Co., Ltd, Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd., Qilu Pharmaceutical Co., Ltd., Jazz Pharmaceuticals, Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd., Delcath Systems Inc. …"
7,21,US Oncology Research,trastuzumab,HER2,Phase 2,NCT03379428,"Daiichi Sankyo, AstraZeneca, Pfizer, Hoffmann-La Roche, Criterium, Inc., Jiangsu HengRui Medicine Co., Ltd., CSPC ZhongQi Pharmaceutical Technology Co., Ltd., Enliven Therapeutics …"
